asset,strategy,trades,win_rate,avg_r,total_r,profit_factor,max_drawdown_r,avg_bars_held
XAU,stoch_reversal,7898,0.5145606482653836,0.028679867836861297,226.51359617553052,1.0598564368769205,-47.510055656962635,2.961635857179033
XAU,bb_rsi_combo,3347,0.5126979384523453,0.02641186153756836,88.4005005662413,1.055009353397643,-33.30653508721985,2.9614580221093516
XAU,cci_reversal,8384,0.5095419847328244,0.01668739417840522,139.90711279174934,1.034558198684675,-45.22003339395528,3.1595896946564888
XAU,rsi_reversal_30_70,2266,0.5088261253309797,0.013702146555082355,31.049064093816618,1.0282269524436136,-65.65467790874537,3.145631067961165
XAU,bollinger_reversion,5474,0.5087687248812568,0.018113392055929555,99.15270811415839,1.0374013041816832,-73.35149669881193,3.0191815856777495
XAU,williams_reversal,11478,0.5052273915316258,0.009034686818043118,103.7001352974989,1.0185175287969466,-155.5352974905539,3.0957483882209442
XAU,ema_cross_3_8,7956,0.4950980392156863,-0.010000989880891669,-79.56787549237411,0.9798296324880034,-129.27655354941987,3.235042735042735
XAU,ema_trend_pullback,840,0.48928571428571427,-0.02140774955368069,-17.98250962509178,0.9574988423197399,-30.119034359414115,3.2154761904761906
XAU,macd_cross,6398,0.48437011566114413,-0.032330585534539526,-206.85108624998387,0.9362890039628414,-235.15140615287143,3.1408252578930917
XAU,macd_ema_confirm,2833,0.4832333215672432,-0.034280745660590896,-97.117352456454,0.9330802187622216,-107.89247476692249,2.884221673138016
XAU,ema_cross_8_20,4184,0.4801625239005736,-0.04005203907948491,-167.57773150856485,0.9217595858126167,-199.39744755935664,3.1173518164435947
XAU,donchian_breakout_20,6867,0.4639580602883355,-0.0703246198587559,-482.91916457007676,0.8670754246079788,-501.91524008852775,2.8153487694772097
